time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-03-19T00:00:00.000000,2419387.59077748,5.755e-05,5.327e-05,6.147e-05,4.709e-05,5060
2018-03-20T00:00:00.000000,1845726.92486744,5.38e-05,5.098e-05,5.559e-05,4.684e-05,3101
2018-03-21T00:00:00.000000,2371699.62997982,5.098e-05,5.098e-05,5.366e-05,4.711e-05,4345
2018-03-22T00:00:00.000000,2087393.28693498,5.098e-05,4.915e-05,5.149e-05,4.778e-05,3846
2018-03-23T00:00:00.000000,2237246.71842985,4.95e-05,4.775e-05,5.202e-05,4.661e-05,3045
2018-03-24T00:00:00.000000,1539765.85193263,4.775e-05,4.446e-05,4.83e-05,4.401e-05,2724
2018-03-25T00:00:00.000000,2235989.41181995,4.444e-05,4.468e-05,4.756e-05,4.234e-05,2989
2018-03-26T00:00:00.000000,3245424.37669676,4.468e-05,4.292e-05,4.569e-05,3.85e-05,4421
2018-03-27T00:00:00.000000,3234835.39761874,4.292e-05,3.987e-05,4.455e-05,3.812e-05,4361
2018-03-28T00:00:00.000000,2372162.84937779,3.942e-05,3.774e-05,3.996e-05,3.615e-05,3229
2018-03-29T00:00:00.000000,3634150.40896218,3.724e-05,3.763e-05,3.85e-05,3.529e-05,3950
2018-03-30T00:00:00.000000,5426527.93849309,3.714e-05,3.365e-05,4.189e-05,3.275e-05,5867
2018-03-31T00:00:00.000000,2241558.66060857,3.365e-05,3.499e-05,3.674e-05,3.223e-05,3218
2018-04-01T00:00:00.000000,1037995.78897282,3.495e-05,3.411e-05,3.51e-05,3.3e-05,1534
2018-04-02T00:00:00.000000,1129588.97880208,3.411e-05,3.245e-05,3.496e-05,3.153e-05,1274
2018-04-03T00:00:00.000000,1076298.5950167,3.245e-05,3.201e-05,3.262e-05,3.153e-05,2382
2018-04-04T00:00:00.000000,8432183.65584027,3.202e-05,3.611e-05,3.67e-05,3.15e-05,6402
2018-04-05T00:00:00.000000,26838172.54262226,3.613e-05,3.908e-05,4.07e-05,3.389e-05,7896
2018-04-06T00:00:00.000000,36271379.96717126,3.915e-05,4.088e-05,4.411e-05,3.544e-05,12206
2018-04-07T00:00:00.000000,9461247.38463431,4.057e-05,4.1e-05,4.124e-05,3.78e-05,3956
2018-04-08T00:00:00.000000,10771361.63196294,4.1e-05,4.021e-05,4.2e-05,3.843e-05,4462
2018-04-09T00:00:00.000000,13517246.45054708,4.021e-05,4.181e-05,4.644e-05,3.901e-05,6737
2018-04-10T00:00:00.000000,13182485.90063534,4.182e-05,4.262e-05,4.642e-05,4.114e-05,6574
2018-04-11T00:00:00.000000,14837729.56773735,4.289e-05,4.84e-05,4.9e-05,3.975e-05,8216
2018-04-12T00:00:00.000000,17552404.0298015,4.84e-05,4.503e-05,4.84e-05,4.306e-05,9132
2018-04-13T00:00:00.000000,16686677.82074436,4.506e-05,4.168e-05,4.506e-05,3.955e-05,7877
2018-04-14T00:00:00.000000,14662256.36078792,4.163e-05,4.086e-05,4.178e-05,3.901e-05,7021
2018-04-15T00:00:00.000000,15189083.89906148,4.116e-05,4.291e-05,4.35e-05,4.02e-05,6758
2018-04-16T00:00:00.000000,13266681.46298628,4.307e-05,4.39e-05,4.42e-05,4.183e-05,6073
2018-04-17T00:00:00.000000,10667405.35777686,4.39e-05,4.297e-05,4.464e-05,4.13e-05,6331
2018-04-18T00:00:00.000000,10808094.94913074,4.297e-05,4.263e-05,4.328e-05,4.131e-05,5586
2018-04-19T00:00:00.000000,11980860.28686658,4.271e-05,4.416e-05,4.42e-05,4.2e-05,6944
2018-04-20T00:00:00.000000,10381935.43734687,4.412e-05,4.549e-05,4.65e-05,4.329e-05,6951
2018-04-21T00:00:00.000000,5243817.83340786,4.551e-05,4.416e-05,4.695e-05,4.385e-05,5595
2018-04-22T00:00:00.000000,5450036.98664856,4.417e-05,4.071e-05,4.6e-05,3.988e-05,5797
2018-04-23T00:00:00.000000,12140448.48433847,4.073e-05,4.163e-05,4.263e-05,3.944e-05,10796
2018-04-24T00:00:00.000000,10556750.90068626,4.163e-05,4.449e-05,4.498e-05,4.112e-05,9922
2018-04-25T00:00:00.000000,6879766.13811887,4.447e-05,4.492e-05,4.8e-05,4.233e-05,9603
2018-04-26T00:00:00.000000,4912452.93333653,4.493e-05,4.069e-05,4.724e-05,3.911e-05,5631
2018-04-27T00:00:00.000000,4000081.64821964,4.06e-05,4.145e-05,4.353e-05,3.861e-05,4861
2018-04-28T00:00:00.000000,14495157.41882234,4.173e-05,4.505e-05,4.54e-05,4.042e-05,7239
2018-04-29T00:00:00.000000,43986987.02945636,4.505e-05,4.872e-05,4.952e-05,4.42e-05,13941
2018-04-30T00:00:00.000000,60405321.623068,4.918e-05,5.555e-05,5.676e-05,4.8e-05,18375
2018-05-01T00:00:00.000000,85399688.8896415,5.539e-05,5.87e-05,7.012e-05,5.3e-05,37311
2018-05-02T00:00:00.000000,57681270.55206763,5.87e-05,6.444e-05,6.635e-05,5.756e-05,18791
2018-05-03T00:00:00.000000,60624019.28821238,6.458e-05,6.725e-05,7.422e-05,6.364e-05,23162
2018-05-04T00:00:00.000000,59933926.94637782,6.728e-05,6.047e-05,6.807e-05,6.039e-05,16836
2018-05-05T00:00:00.000000,53593177.8261596,6.047e-05,6.132e-05,6.481e-05,5.563e-05,17667
2018-05-06T00:00:00.000000,80698331.81384037,6.134e-05,6.054e-05,6.49e-05,5.991e-05,14735
2018-05-07T00:00:00.000000,60970023.90645582,6.052e-05,5.597e-05,6.07e-05,5.338e-05,15662
2018-05-08T00:00:00.000000,68224047.79224399,5.592e-05,5.223e-05,6.002e-05,4.755e-05,21899
2018-05-09T00:00:00.000000,117785165.61489834,5.222e-05,5.666e-05,6.166e-05,5.182e-05,27797
2018-05-10T00:00:00.000000,56769144.92877981,5.665e-05,5.647e-05,6.089e-05,5.493e-05,22497
2018-05-11T00:00:00.000000,37723739.47510409,5.647e-05,5.155e-05,5.695e-05,5.133e-05,16929
2018-05-12T00:00:00.000000,20086980.98351759,5.19e-05,4.721e-05,5.349e-05,4.487e-05,13522
2018-05-13T00:00:00.000000,13288154.6518529,4.71e-05,4.563e-05,5.01e-05,4.301e-05,9920
2018-05-14T00:00:00.000000,14636844.66620438,4.57e-05,4.89e-05,4.898e-05,4.274e-05,11087
2018-05-15T00:00:00.000000,36481661.1855508,4.89e-05,4.968e-05,5.196e-05,4.57e-05,12882
2018-05-16T00:00:00.000000,47232483.24021747,4.967e-05,5.07e-05,5.508e-05,4.947e-05,18528
2018-05-17T00:00:00.000000,5988889.94906965,5.062e-05,4.899e-05,5.324e-05,4.755e-05,7210
2018-05-18T00:00:00.000000,13611271.64418423,4.899e-05,4.655e-05,5.148e-05,4.598e-05,15868
2018-05-19T00:00:00.000000,3935223.31098664,4.67e-05,4.6e-05,4.794e-05,4.512e-05,8239
2018-05-20T00:00:00.000000,1841652.67367715,4.596e-05,4.502e-05,4.633e-05,4.42e-05,2547
2018-05-21T00:00:00.000000,2059558.75428897,4.501e-05,4.59e-05,4.744e-05,4.315e-05,3660
2018-05-22T00:00:00.000000,1908100.06437362,4.586e-05,4.499e-05,4.632e-05,4.372e-05,3275
2018-05-23T00:00:00.000000,1391097.1389785,4.506e-05,4.248e-05,4.506e-05,4.201e-05,2713
2018-05-24T00:00:00.000000,3775170.04348239,4.244e-05,3.942e-05,4.253e-05,3.771e-05,5560
